_id,event_id,timestamp,source_ip,destination_ip,username,event_type,protocol,source_country,destination_country,device_name,os,status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department,malicious_ip_flag,mitre_id,technique_name,tactic,hours_of_day,weekend_falg,severity_score,event_frequency,threat_feed_match,alerts_per_user
6a68f5eeebeef97fd60f2e5d,EVT00001,2025-08-01T00:00:00.000Z,185.91.22.14,10.0.7.195,david,Brute Force,SSH,India,India,Device-167,Windows 10,Failed,Critical,3,No,CVE-2023-1234,0.3,Finance-PC-02,Sales,true,T1110,Brute Force,Credential Access,0,false,4,189,true,307
6a68f5eeebeef97fd60f2e5e,EVT00002,2025-08-01T00:05:00.000Z,179.228.136.185,10.0.3.152,admin,Phishing Email,HTTPS,India,India,Device-8,Windows 11,Success,Low,0,No,,9.4,Finance-PC-02,HR,false,T1566,Phishing,Intial Access,0,false,1,157,false,302
6a68f5eeebeef97fd60f2e5f,EVT00003,2025-08-01T00:10:00.000Z,136.113.224.241,10.0.7.142,john,File Access,HTTPS,India,India,Device-60,Linux,Failed,Low,0,No,CVE-2023-1234,9.5,WebServer,Sales,false,,,,0,false,1,198,false,302
6a68f5eeebeef97fd60f2e60,EVT00004,2025-08-01T00:15:00.000Z,48.151.61.191,10.0.5.230,alex,Port Scan,SMB,India,India,Device-109,Linux,Failed,Low,0,No,CVE-2024-2201,2.8,Finance-PC-02,Sales,false,T1046,Malware Detection,Discovery,0,false,1,177,false,275
6a68f5eeebeef97fd60f2e61,EVT00005,2025-08-01T00:20:00.000Z,123.124.206.107,10.0.10.45,alice,Phishing Email,SMB,India,India,Device-180,Linux,Blocked,Low,0,No,,4.4,Firewall,IT,false,T1566,Phishing,Intial Access,0,false,1,157,false,291
6a68f5eeebeef97fd60f2e62,EVT00006,2025-08-01T00:25:00.000Z,101.189.250.188,10.0.0.121,admin,Brute Force,HTTPS,India,India,Device-181,Linux,Detected,Critical,20,No,CVE-2024-1045,1.7,Database-01,IT,false,T1110,Brute Force,Credential Access,0,false,4,189,false,302
6a68f5eeebeef97fd60f2e63,EVT00007,2025-08-01T00:30:00.000Z,221.118.207.132,10.0.5.244,root,Malware Detection,HTTPS,India,India,Device-118,Windows 10,Success,Critical,0,Yes,CVE-2023-1234,7.8,Firewall,HR,false,T1059,Command and Scripting Interpreter,Execution,0,false,4,165,false,323
6a68f5eeebeef97fd60f2e64,EVT00008,2025-08-01T00:35:00.000Z,110.28.246.223,10.0.5.146,root,Port Scan,HTTP,India,India,Device-130,Windows 10,Detected,Low,0,No,CVE-2024-2201,4.1,WebServer,Finance,false,T1046,Malware Detection,Discovery,0,false,1,177,false,323
6a68f5eeebeef97fd60f2e65,EVT00009,2025-08-01T00:40:00.000Z,206.117.90.141,10.0.9.47,admin,USB Device Connected,SMB,India,India,Device-66,Windows 11,Success,Low,0,No,,8.7,Finance-PC-02,IT,false,,,,0,false,1,170,false,302
6a68f5eeebeef97fd60f2e66,EVT00010,2025-08-01T00:45:00.000Z,29.94.176.75,10.0.1.43,john,Privilege Escalation,HTTPS,India,India,Device-136,Windows 11,Blocked,High,0,No,CVE-2024-2201,4.5,HR-PC-01,Sales,false,,,,0,false,3,191,false,302
6a68f5eeebeef97fd60f2e67,EVT00011,2025-08-01T00:50:00.000Z,7.159.197.88,10.0.6.204,john,USB Device Connected,HTTPS,India,India,Device-28,Windows 10,Failed,Low,0,No,CVE-2023-1234,8.2,WebServer,HR,false,,,,0,false,1,170,false,302
6a68f5eeebeef97fd60f2e68,EVT00012,2025-08-01T00:55:00.000Z,38.18.82.115,10.0.8.174,david,Login Success,SMB,India,India,Device-57,Linux,Detected,Medium,7,No,,3.9,Firewall,Finance,false,,,,0,false,2,179,false,307
6a68f5eeebeef97fd60f2e69,EVT00013,2025-08-01T01:00:00.000Z,189.152.64.248,10.0.3.225,admin,File Access,HTTPS,India,India,Device-19,Windows 11,Blocked,Low,0,No,CVE-2024-2201,7.4,Finance-PC-02,Finance,false,,,,1,false,1,198,false,302
6a68f5eeebeef97fd60f2e6a,EVT00014,2025-08-01T01:05:00.000Z,218.19.111.247,10.0.9.118,john,Brute Force,SMB,India,India,Device-131,Windows 11,Detected,High,6,No,CVE-2024-2201,1,Firewall,Sales,false,T1110,Brute Force,Credential Access,1,false,3,189,false,302
6a68f5eeebeef97fd60f2e6b,EVT00015,2025-08-01T01:10:00.000Z,127.53.199.76,10.0.8.128,admin,Phishing Email,HTTPS,India,India,Device-157,Windows 10,Blocked,Low,0,No,,1.6,HR-PC-01,HR,false,T1566,Phishing,Intial Access,1,false,1,157,false,302
6a68f5eeebeef97fd60f2e6c,EVT00016,2025-08-01T01:15:00.000Z,69.49.194.239,10.0.8.89,alex,SQL Injection Attempt,SMB,India,India,Device-125,Linux,Failed,High,0,No,,7.3,WebServer,HR,false,,,,1,false,3,195,false,275
6a68f5eeebeef97fd60f2e6d,EVT00017,2025-08-01T01:20:00.000Z,138.109.137.195,10.0.5.154,root,Brute Force,HTTPS,India,India,Device-95,Windows 10,Blocked,High,3,No,CVE-2024-2201,2.4,Firewall,Sales,false,T1110,Brute Force,Credential Access,1,false,3,189,false,323
6a68f5eeebeef97fd60f2e6e,EVT00018,2025-08-01T01:25:00.000Z,198.53.164.11,10.0.6.19,david,Brute Force,HTTP,India,India,Device-33,Windows 10,Success,Critical,19,No,CVE-2023-1234,0.8,Firewall,HR,false,T1110,Brute Force,Credential Access,1,false,4,189,false,307
6a68f5eeebeef97fd60f2e6f,EVT00019,2025-08-01T01:30:00.000Z,69.186.151.145,10.0.8.237,admin,Phishing Email,SSH,India,India,Device-71,Windows 11,Success,Low,0,No,CVE-2024-2201,0.1,WebServer,IT,false,T1566,Phishing,Intial Access,1,false,1,157,false,302
6a68f5eeebeef97fd60f2e70,EVT00020,2025-08-01T01:35:00.000Z,212.20.96.62,10.0.9.108,john,File Access,TCP,India,India,Device-116,Windows 11,Failed,Low,0,No,CVE-2024-1045,7.4,WebServer,Sales,false,,,,1,false,1,198,false,302
6a68f5eeebeef97fd60f2e71,EVT00021,2025-08-01T01:40:00.000Z,141.129.244.81,10.0.1.54,alex,File Access,HTTPS,India,India,Device-11,Windows 11,Success,Medium,0,No,CVE-2024-2201,7.3,HR-PC-01,Sales,false,,,,1,false,2,198,false,275
6a68f5eeebeef97fd60f2e72,EVT00022,2025-08-01T01:45:00.000Z,103.32.32.234,10.0.5.249,root,File Access,SSH,India,India,Device-29,Windows 10,Failed,Medium,0,No,CVE-2023-1234,6.6,HR-PC-01,HR,false,,,,1,false,2,198,false,323
6a68f5eeebeef97fd60f2e73,EVT00023,2025-08-01T01:50:00.000Z,79.101.126.93,10.0.1.210,alice,Port Scan,TCP,India,India,Device-193,Windows 10,Success,Low,0,No,CVE-2024-2201,9.4,Finance-PC-02,Finance,false,T1046,Malware Detection,Discovery,1,false,1,177,false,291
6a68f5eeebeef97fd60f2e74,EVT00024,2025-08-01T01:55:00.000Z,48.162.155.63,10.0.5.26,root,Login Success,SMB,India,India,Device-149,Linux,Success,Medium,7,No,CVE-2024-1045,0.2,Database-01,Sales,false,,,,1,false,2,179,false,323
6a68f5eeebeef97fd60f2e75,EVT00025,2025-08-01T02:00:00.000Z,69.36.38.6,10.0.10.3,alice,Failed Login,HTTPS,India,India,Device-127,Windows 10,Failed,High,3,No,CVE-2024-2201,0.8,Database-01,HR,false,T1110,Brute Force,Credential Access,2,false,3,179,false,291
6a68f5eeebeef97fd60f2e76,EVT00026,2025-08-01T02:05:00.000Z,211.163.156.28,10.0.8.214,root,Brute Force,HTTPS,India,India,Device-33,Windows 11,Failed,Critical,17,No,,7.8,Firewall,HR,false,T1110,Brute Force,Credential Access,2,false,4,189,false,323
6a68f5eeebeef97fd60f2e77,EVT00027,2025-08-01T02:10:00.000Z,138.80.24.183,10.0.10.64,alice,Brute Force,TCP,India,India,Device-175,Windows 10,Detected,High,17,No,CVE-2024-2201,5.4,Firewall,Sales,false,T1110,Brute Force,Credential Access,2,false,3,189,false,291
6a68f5eeebeef97fd60f2e78,EVT00028,2025-08-01T02:15:00.000Z,215.173.87.67,10.0.7.7,alex,Login Success,SSH,India,India,Device-147,Windows 11,Success,Medium,11,No,CVE-2024-1045,5.9,Database-01,Finance,false,,,,2,false,2,179,false,275
6a68f5eeebeef97fd60f2e79,EVT00029,2025-08-01T02:20:00.000Z,103.88.45.60,10.0.7.2,john,Privilege Escalation,SMB,India,India,Device-82,Linux,Detected,High,0,No,CVE-2024-1045,2.4,Finance-PC-02,Sales,false,,,,2,false,3,191,false,302
6a68f5eeebeef97fd60f2e7a,EVT00030,2025-08-01T02:25:00.000Z,87.140.112.13,10.0.1.196,root,Malware Detection,HTTPS,India,India,Device-41,Linux,Failed,Critical,0,Yes,CVE-2024-2201,3,HR-PC-01,Finance,false,T1059,Command and Scripting Interpreter,Execution,2,false,4,165,false,323
6a68f5eeebeef97fd60f2e7b,EVT00031,2025-08-01T02:30:00.000Z,189.237.43.220,10.0.1.230,root,Brute Force,SMB,India,India,Device-147,Windows 10,Failed,Critical,4,No,CVE-2024-2201,4.3,Firewall,IT,false,T1110,Brute Force,Credential Access,2,false,4,189,false,323
6a68f5eeebeef97fd60f2e7c,EVT00032,2025-08-01T02:35:00.000Z,184.178.196.132,10.0.2.140,alex,USB Device Connected,TCP,India,India,Device-135,Windows 11,Blocked,Medium,0,No,,2.7,WebServer,HR,false,,,,2,false,2,170,false,275
6a68f5eeebeef97fd60f2e7d,EVT00033,2025-08-01T02:40:00.000Z,114.123.195.241,10.0.6.102,john,Phishing Email,HTTPS,India,India,Device-113,Windows 11,Detected,Low,0,No,CVE-2024-1045,1.2,Firewall,Sales,false,T1566,Phishing,Intial Access,2,false,1,157,false,302
6a68f5eeebeef97fd60f2e7e,EVT00034,2025-08-01T02:45:00.000Z,170.151.142.64,10.0.6.192,root,Failed Login,TCP,India,India,Device-49,Linux,Detected,High,18,No,,0.3,Firewall,HR,false,T1110,Brute Force,Credential Access,2,false,3,179,false,323
6a68f5eeebeef97fd60f2e7f,EVT00035,2025-08-01T02:50:00.000Z,73.75.102.70,10.0.4.150,alice,Privilege Escalation,SSH,India,India,Device-44,Linux,Blocked,High,0,No,CVE-2023-1234,4.2,WebServer,HR,false,,,,2,false,3,191,false,291
