event_id,prediction,threat_type,confidence_score,anomaly_score,severity,model_version,prediction_timestamp,timestamp,source_ip,destination_ip,username,event_type,protocol,source_country,destination_country,device_name,os,event_status,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department,asset_id,criticality,criticality_score,vulnerability_id_vul,cve_id,vulnerability_name,severity_vul,cvss_score_vul,affected_asset,patch_available,status,mitre_id,technique_name,tactic,ioc_match,ioc_type,ioc_value,threat_name_ioc,threat_actor,ioc_confidence,threat_intelligence_score,severity_score,ml_confidence_score,asset_criticality_score,vulnerability_exposure_score,risk_score,risk_class,priority,correlation_id,correlated_event_count,is_correlated
EVT00001,Suspicious,Brute Force,30,-0.0414831306509003,High,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:00:00,206.32.130.31,10.0.7.195,david,Brute Force,SSH,India,India,Device-167,Windows 10,Failed,3,No,CVE-2023-1234,0.3,Finance-PC-02,Sales,AST002,High,0.75,VUL002,CVE-2023-1234,Chrome Domain Spoofing,Medium,4.3,Finance-PC-02,Yes,Open,,,,False,,,,,0,0,80,30.0,75.0,43.0,51.1,Moderate,3,CORR-0001,2,True
EVT00002,Suspicious,Phishing Email,55,-0.0098075078411741,High,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:05:00,179.228.136.185,10.0.3.152,admin,Phishing Email,HTTPS,India,India,Device-8,Windows 11,Success,0,No,,9.4,Finance-PC-02,HR,AST002,High,0.75,,,,,,,,,,,,False,,,,,0,0,80,55.0,75.0,0.0,48.75,Moderate,3,CORR-0003,2,True
EVT00003,Suspicious,File Access,55,-0.0021482054996752,High,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:10:00,136.113.224.241,10.0.7.142,john,File Access,HTTPS,India,India,Device-60,Linux,Failed,0,No,CVE-2023-1234,9.5,WebServer,Sales,AST003,High,0.75,VUL002,CVE-2023-1234,Chrome Domain Spoofing,Medium,4.3,Finance-PC-02,Yes,Open,,,,False,,,,,0,0,80,55.0,75.0,43.0,57.35,Moderate,3,CORR-0002,2,True
EVT00004,Suspicious,Port Scan,30,-0.0094223598057878,Medium,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:15:00,48.151.61.191,10.0.5.230,alex,Port Scan,SMB,India,India,Device-109,Linux,Failed,0,No,CVE-2024-2201,2.8,Finance-PC-02,Sales,AST002,High,0.75,VUL003,CVE-2024-2201,Network Security Vulnerability,High,7.5,Firewall,Yes,Open,,,,False,,,,,0,0,60,30.0,75.0,75.0,52.5,Moderate,3,CORR-0004,3,True
EVT00005,Suspicious,Phishing Email,35,-0.0104185855845386,Medium,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:20:00,123.124.206.107,10.0.10.45,alice,Phishing Email,SMB,India,India,Device-180,Linux,Blocked,0,No,,4.4,Firewall,IT,AST004,Critical,1.0,,,,,,,,,,,,False,,,,,0,0,60,35.0,100.0,0.0,43.75,Moderate,3,CORR-0003,2,True
EVT00006,Suspicious,Brute Force,50,-0.0737559070215426,High,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:25:00,101.189.250.188,10.0.0.121,admin,Brute Force,HTTPS,India,India,Device-181,Linux,Detected,20,No,CVE-2024-1045,1.7,Database-01,IT,AST005,Critical,1.0,VUL001,CVE-2024-1045,Privilege Escalation,Critical,9.5,Database-01,Yes,Open,,,,False,,,,,0,0,80,50.0,100.0,95.0,71.5,High,2,CORR-0001,2,True
EVT00007,Suspicious,Malware Detection,70,-0.0554832569293516,High,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:30:00,221.118.207.132,10.0.5.244,root,Malware Detection,HTTPS,India,India,Device-118,Windows 10,Success,0,Yes,CVE-2023-1234,7.8,Firewall,HR,AST004,Critical,1.0,VUL002,CVE-2023-1234,Chrome Domain Spoofing,Medium,4.3,Finance-PC-02,Yes,Open,,,,False,,,,,0,0,80,70.0,100.0,43.0,66.1,High,2,CORR-0006,5,True
EVT00008,Normal,Port Scan,5,0.0003176603119849,Low,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:35:00,110.28.246.223,10.0.5.146,root,Port Scan,HTTP,India,India,Device-130,Windows 10,Detected,0,No,CVE-2024-2201,4.1,WebServer,Finance,AST003,High,0.75,VUL003,CVE-2024-2201,Network Security Vulnerability,High,7.5,Firewall,Yes,Open,,,,False,,,,,0,0,30,5.0,75.0,75.0,38.75,Medium,4,CORR-0002,2,True
EVT00009,Suspicious,USB Device Connected,45,-0.0034859578346126,High,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:40:00,206.117.90.141,10.0.9.47,admin,USB Device Connected,SMB,India,India,Device-66,Windows 11,Success,0,No,,8.7,Finance-PC-02,IT,AST002,High,0.75,,,,,,,,,,,,False,,,,,0,0,80,45.0,75.0,0.0,46.25,Moderate,3,CORR-0004,3,True
EVT00010,Normal,Privilege Escalation,5,0.012900872340181,Low,IF_v2,2026-08-18T21:13:23.477157,2025-08-01 00:45:00,29.94.176.75,10.0.1.43,john,Privilege Escalation,HTTPS,India,India,Device-136,Windows 11,Blocked,0,No,CVE-2024-2201,4.5,HR-PC-01,Sales,AST001,Medium,0.5,VUL003,CVE-2024-2201,Network Security Vulnerability,High,7.5,Firewall,Yes,Open,,,,False,,,,,0,0,30,5.0,50.0,75.0,33.75,Medium,4,CORR-0005,1,False
