incident_id,correlation_id,event_ids,event_count,threat_type,risk_score,risk_class,priority,priority_rank,asset_id,asset_name,criticality,affected_user,source_ip,destination_ip,mitre_technique,technique_name,tactic,ioc_match,ioc_type,threat_actor,cvss_score,cve_id,status,created_at
INC-0001,CORR-0001,EVT00001|EVT00006,2,Brute Force,71.5,High,High,2,AST005,Database-01,Critical,admin,101.189.250.188,10.0.0.121,nan,nan,nan,False,nan,nan,1.7,CVE-2024-1045,Open,2026-09-05T15:46:29.697372+00:00
INC-0002,CORR-0002,EVT00003|EVT00008,2,File Access,57.35,Moderate,Moderate,3,AST003,WebServer,High,john,136.113.224.241,10.0.7.142,nan,nan,nan,False,nan,nan,9.5,CVE-2023-1234,Open,2026-09-05T15:46:29.697372+00:00
INC-0003,CORR-0003,EVT00002|EVT00005,2,Phishing Email,48.75,Moderate,Moderate,3,AST002,Finance-PC-02,High,admin,179.228.136.185,10.0.3.152,nan,nan,nan,False,nan,nan,9.4,nan,Open,2026-09-05T15:46:29.697372+00:00
INC-0004,CORR-0004,EVT00004|EVT00009|EVT00013,3,File Access,61.25,High,High,2,AST002,Finance-PC-02,High,admin,189.152.64.248,10.0.3.225,nan,nan,nan,False,nan,nan,7.4,CVE-2024-2201,Open,2026-09-05T15:46:29.698386+00:00
INC-0005,CORR-0006,EVT00007|EVT00012|EVT00014|EVT00017|EVT00018,5,Malware Detection,66.1,High,High,2,AST004,Firewall,Critical,root,221.118.207.132,10.0.5.244,nan,nan,nan,False,nan,nan,7.8,CVE-2023-1234,Open,2026-09-05T15:46:29.698386+00:00
INC-0006,CORR-0007,EVT00011|EVT00016|EVT00019,3,USB Device Connected,54.85,Moderate,Moderate,3,AST003,WebServer,High,john,7.159.197.88,10.0.6.204,nan,nan,nan,False,nan,nan,8.2,CVE-2023-1234,Open,2026-09-05T15:46:29.699387+00:00
INC-0007,CORR-0008,EVT00015|EVT00020|EVT00021|EVT00022,4,File Access,65.25,High,High,2,AST003,WebServer,High,john,212.20.96.62,10.0.9.108,nan,nan,nan,False,nan,nan,7.4,CVE-2024-1045,Open,2026-09-05T15:46:29.699387+00:00
INC-0008,CORR-0009,EVT00023|EVT00029,2,Port Scan,63.75,High,High,2,AST002,Finance-PC-02,High,alice,79.101.126.93,10.0.1.210,nan,nan,nan,False,nan,nan,9.4,CVE-2024-2201,Open,2026-09-05T15:46:29.699387+00:00
INC-0009,CORR-0010,EVT00024|EVT00025|EVT00028,3,Login Success,72.75,High,High,2,AST005,Database-01,Critical,alex,215.173.87.67,10.0.7.7,nan,nan,nan,False,nan,nan,5.9,CVE-2024-1045,Open,2026-09-05T15:46:29.699387+00:00
INC-0010,CORR-0013,EVT00032|EVT00035,2,USB Device Connected,37.5,Medium,Medium,4,AST003,WebServer,High,alex,184.178.196.132,10.0.2.140,nan,nan,nan,False,nan,nan,2.7,nan,Open,2026-09-05T15:46:29.699387+00:00
INC-0011,CORR-0014,EVT00027|EVT00031|EVT00033,3,Brute Force,68.75,High,High,2,AST004,Firewall,Critical,alice,138.80.24.183,10.0.10.64,nan,nan,nan,False,nan,nan,5.4,CVE-2024-2201,Open,2026-09-05T15:46:29.700851+00:00
INC-0012,CORR-0015,EVT00034|EVT00038,2,Failed Login,57.35,Moderate,Moderate,3,AST001,HR-PC-01,Medium,alice,166.193.195.53,10.0.8.1,T1110,Brute Force,Credential Access,False,nan,nan,9.4,CVE-2023-1234,Open,2026-09-05T15:46:29.700851+00:00
