event_id,timestamp,source_ip,destination_ip,username,event_type,protocol,source_country,destination_country,device_name,os,event_status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department,event_text,technique_id,technique_name,tactic
EVT00001,2025-08-01 00:00:00,206.32.130.31,10.0.7.195,david,brute force,SSH,India,India,Device-167,Windows 10,Failed,Critical,3,No,CVE-2023-1234,0.3,Finance-PC-02,Sales,brute force failed critical,T1110,Brute Force,Credential Access
EVT00002,2025-08-01 00:05:00,179.228.136.185,10.0.3.152,admin,phishing email,HTTPS,India,India,Device-8,Windows 11,Success,Low,0,No,,9.4,Finance-PC-02,HR,phishing email success low,,,
EVT00003,2025-08-01 00:10:00,136.113.224.241,10.0.7.142,john,file access,HTTPS,India,India,Device-60,Linux,Failed,Low,0,No,CVE-2023-1234,9.5,WebServer,Sales,file access failed low,T1110,Brute Force,Credential Access
EVT00004,2025-08-01 00:15:00,48.151.61.191,10.0.5.230,alex,port scan,SMB,India,India,Device-109,Linux,Failed,Low,0,No,CVE-2024-2201,2.8,Finance-PC-02,Sales,port scan failed low,T1110,Brute Force,Credential Access
EVT00005,2025-08-01 00:20:00,123.124.206.107,10.0.10.45,alice,phishing email,SMB,India,India,Device-180,Linux,Blocked,Low,0,No,,4.4,Firewall,IT,phishing email blocked low,,,
EVT00006,2025-08-01 00:25:00,101.189.250.188,10.0.0.121,admin,brute force,HTTPS,India,India,Device-181,Linux,Detected,Critical,20,No,CVE-2024-1045,1.7,Database-01,IT,brute force detected critical,,,
EVT00007,2025-08-01 00:30:00,221.118.207.132,10.0.5.244,root,malware detection,HTTPS,India,India,Device-118,Windows 10,Success,Critical,0,Yes,CVE-2023-1234,7.8,Firewall,HR,malware detection success critical,,,
EVT00008,2025-08-01 00:35:00,110.28.246.223,10.0.5.146,root,port scan,HTTP,India,India,Device-130,Windows 10,Detected,Low,0,No,CVE-2024-2201,4.1,WebServer,Finance,port scan detected low,,,
EVT00009,2025-08-01 00:40:00,206.117.90.141,10.0.9.47,admin,usb device connected,SMB,India,India,Device-66,Windows 11,Success,Low,0,No,,8.7,Finance-PC-02,IT,usb device connected success low,,,
EVT00010,2025-08-01 00:45:00,29.94.176.75,10.0.1.43,john,privilege escalation,HTTPS,India,India,Device-136,Windows 11,Blocked,High,0,No,CVE-2024-2201,4.5,HR-PC-01,Sales,privilege escalation blocked high,,,
EVT00011,2025-08-01 00:50:00,7.159.197.88,10.0.6.204,john,usb device connected,HTTPS,India,India,Device-28,Windows 10,Failed,Low,0,No,CVE-2023-1234,8.2,WebServer,HR,usb device connected failed low,T1110,Brute Force,Credential Access
EVT00012,2025-08-01 00:55:00,38.18.82.115,10.0.8.174,david,login success,SMB,India,India,Device-57,Linux,Detected,Medium,7,No,,3.9,Firewall,Finance,login success detected medium,T1110,Brute Force,Credential Access
EVT00013,2025-08-01 01:00:00,189.152.64.248,10.0.3.225,admin,file access,HTTPS,India,India,Device-19,Windows 11,Blocked,Low,0,No,CVE-2024-2201,7.4,Finance-PC-02,Finance,file access blocked low,,,
EVT00014,2025-08-01 01:05:00,218.19.111.247,10.0.9.118,john,brute force,SMB,India,India,Device-131,Windows 11,Detected,High,6,No,CVE-2024-2201,1.0,Firewall,Sales,brute force detected high,,,
EVT00015,2025-08-01 01:10:00,127.53.199.76,10.0.8.128,admin,phishing email,HTTPS,India,India,Device-157,Windows 10,Blocked,Low,0,No,,1.6,HR-PC-01,HR,phishing email blocked low,,,
EVT00016,2025-08-01 01:15:00,69.49.194.239,10.0.8.89,alex,sql injection attempt,SMB,India,India,Device-125,Linux,Failed,High,0,No,,7.3,WebServer,HR,sql injection attempt failed high,T1110,Brute Force,Credential Access
EVT00017,2025-08-01 01:20:00,138.109.137.195,10.0.5.154,root,brute force,HTTPS,India,India,Device-95,Windows 10,Blocked,High,3,No,CVE-2024-2201,2.4,Firewall,Sales,brute force blocked high,,,
EVT00018,2025-08-01 01:25:00,198.53.164.11,10.0.6.19,david,brute force,HTTP,India,India,Device-33,Windows 10,Success,Critical,19,No,CVE-2023-1234,0.8,Firewall,HR,brute force success critical,,,
EVT00019,2025-08-01 01:30:00,69.186.151.145,10.0.8.237,admin,phishing email,SSH,India,India,Device-71,Windows 11,Success,Low,0,No,CVE-2024-2201,0.1,WebServer,IT,phishing email success low,,,
EVT00020,2025-08-01 01:35:00,212.20.96.62,10.0.9.108,john,file access,TCP,India,India,Device-116,Windows 11,Failed,Low,0,No,CVE-2024-1045,7.4,WebServer,Sales,file access failed low,T1110,Brute Force,Credential Access
EVT00021,2025-08-01 01:40:00,141.129.244.81,10.0.1.54,alex,file access,HTTPS,India,India,Device-11,Windows 11,Success,Medium,0,No,CVE-2024-2201,7.3,HR-PC-01,Sales,file access success medium,,,
EVT00022,2025-08-01 01:45:00,103.32.32.234,10.0.5.249,root,file access,SSH,India,India,Device-29,Windows 10,Failed,Medium,0,No,CVE-2023-1234,6.6,HR-PC-01,HR,file access failed medium,T1110,Brute Force,Credential Access
EVT00023,2025-08-01 01:50:00,79.101.126.93,10.0.1.210,alice,port scan,TCP,India,India,Device-193,Windows 10,Success,Low,0,No,CVE-2024-2201,9.4,Finance-PC-02,Finance,port scan success low,,,
EVT00024,2025-08-01 01:55:00,48.162.155.63,10.0.5.26,root,login success,SMB,India,India,Device-149,Linux,Success,Medium,7,No,CVE-2024-1045,0.2,Database-01,Sales,login success success medium,T1110,Brute Force,Credential Access
EVT00025,2025-08-01 02:00:00,69.36.38.6,10.0.10.3,alice,failed login,HTTPS,India,India,Device-127,Windows 10,Failed,High,3,No,CVE-2024-2201,0.8,Database-01,HR,failed login failed high,T1110,Brute Force,Credential Access
EVT00026,2025-08-01 02:05:00,211.163.156.28,10.0.8.214,root,brute force,HTTPS,India,India,Device-33,Windows 11,Failed,Critical,17,No,,7.8,Firewall,HR,brute force failed critical,T1110,Brute Force,Credential Access
EVT00027,2025-08-01 02:10:00,138.80.24.183,10.0.10.64,alice,brute force,TCP,India,India,Device-175,Windows 10,Detected,High,17,No,CVE-2024-2201,5.4,Firewall,Sales,brute force detected high,,,
EVT00028,2025-08-01 02:15:00,215.173.87.67,10.0.7.7,alex,login success,SSH,India,India,Device-147,Windows 11,Success,Medium,11,No,CVE-2024-1045,5.9,Database-01,Finance,login success success medium,T1110,Brute Force,Credential Access
EVT00029,2025-08-01 02:20:00,103.88.45.60,10.0.7.2,john,privilege escalation,SMB,India,India,Device-82,Linux,Detected,High,0,No,CVE-2024-1045,2.4,Finance-PC-02,Sales,privilege escalation detected high,,,
EVT00030,2025-08-01 02:25:00,87.140.112.13,10.0.1.196,root,malware detection,HTTPS,India,India,Device-41,Linux,Failed,Critical,0,Yes,CVE-2024-2201,3.0,HR-PC-01,Finance,malware detection failed critical,T1110,Brute Force,Credential Access
EVT00031,2025-08-01 02:30:00,189.237.43.220,10.0.1.230,root,brute force,SMB,India,India,Device-147,Windows 10,Failed,Critical,4,No,CVE-2024-2201,4.3,Firewall,IT,brute force failed critical,T1110,Brute Force,Credential Access
EVT00032,2025-08-01 02:35:00,184.178.196.132,10.0.2.140,alex,usb device connected,TCP,India,India,Device-135,Windows 11,Blocked,Medium,0,No,,2.7,WebServer,HR,usb device connected blocked medium,,,
EVT00033,2025-08-01 02:40:00,114.123.195.241,10.0.6.102,john,phishing email,HTTPS,India,India,Device-113,Windows 11,Detected,Low,0,No,CVE-2024-1045,1.2,Firewall,Sales,phishing email detected low,,,
EVT00034,2025-08-01 02:45:00,170.151.142.64,10.0.6.192,root,failed login,TCP,India,India,Device-49,Linux,Detected,High,18,No,,0.3,Firewall,HR,failed login detected high,T1110,Brute Force,Credential Access
EVT00035,2025-08-01 02:50:00,73.75.102.70,10.0.4.150,alice,privilege escalation,SSH,India,India,Device-44,Linux,Blocked,High,0,No,CVE-2023-1234,4.2,WebServer,HR,privilege escalation blocked high,,,
EVT00036,2025-08-01 02:55:00,53.145.55.232,10.0.0.31,root,phishing email,TCP,India,India,Device-140,Windows 10,Failed,Medium,0,No,,5.0,Firewall,Finance,phishing email failed medium,T1110,Brute Force,Credential Access
EVT00037,2025-08-01 03:00:00,195.165.0.32,10.0.7.184,david,file access,HTTPS,India,India,Device-79,Linux,Detected,Medium,0,No,CVE-2024-2201,7.8,Firewall,Sales,file access detected medium,,,
EVT00038,2025-08-01 03:05:00,166.193.195.53,10.0.8.1,alice,failed login,SMB,India,India,Device-185,Linux,Failed,High,14,No,CVE-2023-1234,9.4,HR-PC-01,HR,failed login failed high,T1110,Brute Force,Credential Access
EVT00039,2025-08-01 03:10:00,93.1.199.149,10.0.6.249,david,usb device connected,HTTPS,India,India,Device-160,Linux,Success,Low,0,No,CVE-2023-1234,9.9,Database-01,Finance,usb device connected success low,,,
EVT00040,2025-08-01 03:15:00,185.79.203.201,10.0.4.217,john,login success,TCP,India,India,Device-199,Linux,Success,Medium,11,No,CVE-2024-2201,8.0,Finance-PC-02,Finance,login success success medium,T1110,Brute Force,Credential Access
EVT00041,2025-08-01 03:20:00,67.248.86.120,10.0.8.12,alice,brute force,SMB,India,India,Device-26,Linux,Detected,High,2,No,CVE-2024-2201,0.7,Finance-PC-02,IT,brute force detected high,,,
EVT00042,2025-08-01 03:25:00,42.47.205.163,10.0.4.155,alice,brute force,HTTP,India,India,Device-136,Windows 11,Failed,Critical,10,No,CVE-2024-2201,0.7,Firewall,Finance,brute force failed critical,T1110,Brute Force,Credential Access
EVT00043,2025-08-01 03:30:00,44.152.138.92,10.0.9.190,john,usb device connected,SSH,India,India,Device-144,Windows 10,Failed,Low,0,No,CVE-2023-1234,7.9,Firewall,Finance,usb device connected failed low,T1110,Brute Force,Credential Access
EVT00044,2025-08-01 03:35:00,157.125.15.219,10.0.9.104,alice,malware detection,SSH,India,India,Device-195,Windows 11,Blocked,High,0,Yes,CVE-2024-1045,0.7,Database-01,Sales,malware detection blocked high,,,
EVT00045,2025-08-01 03:40:00,156.134.235.135,10.0.2.36,john,phishing email,SSH,India,India,Device-93,Windows 10,Detected,Low,0,No,CVE-2024-1045,1.2,Database-01,Finance,phishing email detected low,,,
EVT00046,2025-08-01 03:45:00,28.116.203.83,10.0.7.238,admin,failed login,HTTP,India,India,Device-12,Windows 11,Success,High,6,No,,4.9,Firewall,Sales,failed login success high,T1110,Brute Force,Credential Access
EVT00047,2025-08-01 03:50:00,71.60.88.25,10.0.3.103,john,sql injection attempt,SSH,India,India,Device-116,Windows 10,Failed,Critical,0,No,CVE-2024-1045,2.4,HR-PC-01,Sales,sql injection attempt failed critical,T1110,Brute Force,Credential Access
EVT00048,2025-08-01 03:55:00,55.231.132.85,10.0.7.152,admin,port scan,HTTP,India,India,Device-21,Windows 11,Success,Medium,0,No,,8.6,HR-PC-01,Sales,port scan success medium,,,
EVT00049,2025-08-01 04:00:00,51.204.81.226,10.0.10.39,admin,phishing email,TCP,India,India,Device-100,Windows 11,Success,Medium,0,No,CVE-2023-1234,2.5,WebServer,Sales,phishing email success medium,,,
EVT00050,2025-08-01 04:05:00,10.31.66.11,10.0.4.200,admin,privilege escalation,SSH,India,India,Device-24,Windows 11,Success,Critical,0,No,CVE-2023-1234,6.4,HR-PC-01,HR,privilege escalation success critical,,,
EVT00051,2025-08-01 04:10:00,85.137.133.165,10.0.10.63,john,usb device connected,TCP,India,India,Device-151,Linux,Failed,Medium,0,No,CVE-2024-2201,4.3,Firewall,IT,usb device connected failed medium,T1110,Brute Force,Credential Access
EVT00052,2025-08-01 04:15:00,138.102.217.236,10.0.10.18,alex,sql injection attempt,HTTPS,India,India,Device-191,Linux,Success,Critical,0,No,CVE-2024-2201,1.8,WebServer,HR,sql injection attempt success critical,,,
EVT00053,2025-08-01 04:20:00,219.219.22.14,10.0.10.24,root,login success,SSH,India,India,Device-129,Windows 10,Success,Low,10,No,,1.3,WebServer,Sales,login success success low,T1110,Brute Force,Credential Access
EVT00054,2025-08-01 04:25:00,196.228.12.189,10.0.8.70,admin,brute force,HTTPS,India,India,Device-84,Windows 11,Blocked,Critical,1,No,CVE-2023-1234,0.6,HR-PC-01,Finance,brute force blocked critical,,,
EVT00055,2025-08-01 04:30:00,98.59.155.25,10.0.6.216,john,brute force,SMB,India,India,Device-143,Windows 11,Blocked,High,10,No,CVE-2023-1234,9.6,Firewall,Sales,brute force blocked high,,,
EVT00056,2025-08-01 04:35:00,34.229.15.230,10.0.4.191,john,failed login,HTTP,India,India,Device-95,Windows 10,Blocked,High,3,No,CVE-2023-1234,3.5,Firewall,IT,failed login blocked high,T1110,Brute Force,Credential Access
EVT00057,2025-08-01 04:40:00,209.160.213.77,10.0.5.91,alice,login success,HTTPS,India,India,Device-192,Linux,Success,Medium,16,No,,1.5,HR-PC-01,Finance,login success success medium,T1110,Brute Force,Credential Access
EVT00058,2025-08-01 04:45:00,116.143.245.117,10.0.5.238,alex,phishing email,SSH,India,India,Device-21,Linux,Success,Low,0,No,CVE-2024-1045,0.5,Finance-PC-02,Finance,phishing email success low,,,
EVT00059,2025-08-01 04:50:00,192.173.185.254,10.0.10.95,david,malware detection,HTTPS,India,India,Device-119,Linux,Blocked,Critical,0,Yes,CVE-2024-1045,0.3,HR-PC-01,HR,malware detection blocked critical,,,
EVT00060,2025-08-01 04:55:00,29.94.210.241,10.0.9.13,admin,phishing email,SMB,India,India,Device-175,Windows 10,Success,Low,0,No,CVE-2024-1045,2.6,Firewall,IT,phishing email success low,,,
EVT00061,2025-08-01 05:00:00,204.111.88.131,10.0.6.6,root,failed login,HTTPS,India,India,Device-125,Linux,Blocked,High,7,No,CVE-2024-1045,6.0,Database-01,Sales,failed login blocked high,T1110,Brute Force,Credential Access
EVT00062,2025-08-01 05:05:00,140.96.246.186,10.0.1.209,alice,usb device connected,SSH,India,India,Device-52,Windows 11,Detected,Medium,0,No,CVE-2023-1234,0.8,Firewall,Sales,usb device connected detected medium,,,
EVT00063,2025-08-01 05:10:00,218.234.3.49,10.0.4.179,alex,login success,TCP,India,India,Device-139,Windows 11,Blocked,Medium,16,No,CVE-2024-2201,9.7,Firewall,Finance,login success blocked medium,T1110,Brute Force,Credential Access
EVT00064,2025-08-01 05:15:00,139.209.157.116,10.0.4.34,root,port scan,SSH,India,India,Device-151,Windows 11,Failed,Medium,0,No,CVE-2024-2201,6.4,Finance-PC-02,IT,port scan failed medium,T1110,Brute Force,Credential Access
EVT00065,2025-08-01 05:20:00,73.9.46.237,10.0.1.217,admin,sql injection attempt,SSH,India,India,Device-69,Windows 10,Blocked,High,0,No,CVE-2024-2201,6.4,Finance-PC-02,Finance,sql injection attempt blocked high,,,
EVT00066,2025-08-01 05:25:00,206.59.247.91,10.0.2.107,john,file access,TCP,India,India,Device-45,Windows 10,Blocked,Medium,0,No,CVE-2024-1045,5.9,HR-PC-01,Sales,file access blocked medium,,,
EVT00067,2025-08-01 05:30:00,74.215.140.111,10.0.5.199,david,privilege escalation,HTTP,India,India,Device-184,Windows 10,Detected,Critical,0,No,CVE-2023-1234,0.9,Database-01,HR,privilege escalation detected critical,,,
EVT00068,2025-08-01 05:35:00,7.52.129.40,10.0.7.199,admin,brute force,SSH,India,India,Device-167,Linux,Failed,High,0,No,,4.3,WebServer,HR,brute force failed high,T1110,Brute Force,Credential Access
EVT00069,2025-08-01 05:40:00,89.24.52.189,10.0.8.174,david,port scan,TCP,India,India,Device-68,Linux,Blocked,Medium,0,No,CVE-2024-1045,4.8,WebServer,HR,port scan blocked medium,,,
EVT00070,2025-08-01 05:45:00,222.199.63.172,10.0.7.76,alex,failed login,SMB,India,India,Device-128,Windows 10,Success,High,19,No,CVE-2023-1234,1.1,Finance-PC-02,HR,failed login success high,T1110,Brute Force,Credential Access
EVT00071,2025-08-01 05:50:00,107.147.252.163,10.0.8.234,john,brute force,SMB,India,India,Device-87,Windows 10,Success,Critical,0,No,CVE-2024-2201,9.3,HR-PC-01,IT,brute force success critical,,,
EVT00072,2025-08-01 05:55:00,77.51.117.131,10.0.4.70,alex,port scan,HTTP,India,India,Device-106,Windows 11,Failed,Medium,0,No,CVE-2024-2201,2.0,Firewall,IT,port scan failed medium,T1110,Brute Force,Credential Access
EVT00073,2025-08-01 06:00:00,106.138.143.123,10.0.4.69,david,port scan,HTTP,India,India,Device-128,Windows 10,Detected,Low,0,No,CVE-2024-1045,3.4,Firewall,HR,port scan detected low,,,
EVT00074,2025-08-01 06:05:00,137.76.29.130,10.0.5.136,alex,phishing email,HTTP,India,India,Device-166,Windows 11,Blocked,Medium,0,No,CVE-2023-1234,4.8,WebServer,HR,phishing email blocked medium,,,
EVT00075,2025-08-01 06:10:00,58.45.25.145,10.0.2.176,admin,brute force,HTTP,India,India,Device-145,Windows 11,Blocked,Critical,13,No,CVE-2024-2201,0.0,WebServer,Finance,brute force blocked critical,,,
EVT00076,2025-08-01 06:15:00,22.114.143.175,10.0.10.253,alice,phishing email,HTTPS,India,India,Device-154,Linux,Detected,Low,0,No,,1.2,HR-PC-01,HR,phishing email detected low,,,
EVT00077,2025-08-01 06:20:00,65.73.21.89,10.0.1.24,alex,failed login,TCP,India,India,Device-77,Windows 10,Failed,High,8,No,,3.6,WebServer,HR,failed login failed high,T1110,Brute Force,Credential Access
EVT00078,2025-08-01 06:25:00,185.123.48.174,10.0.5.71,admin,file access,SMB,India,India,Device-83,Windows 11,Blocked,Medium,0,No,CVE-2024-1045,6.1,HR-PC-01,Sales,file access blocked medium,,,
EVT00079,2025-08-01 06:30:00,174.243.214.138,10.0.6.78,john,failed login,HTTPS,India,India,Device-141,Windows 11,Success,High,19,No,,1.8,Database-01,Sales,failed login success high,T1110,Brute Force,Credential Access
EVT00080,2025-08-01 06:35:00,65.138.134.122,10.0.2.104,alex,privilege escalation,TCP,India,India,Device-191,Windows 10,Success,Critical,0,No,CVE-2024-2201,5.4,Firewall,IT,privilege escalation success critical,,,
EVT00081,2025-08-01 06:40:00,115.67.79.20,10.0.9.37,alex,phishing email,HTTP,India,India,Device-124,Windows 10,Blocked,Medium,0,No,CVE-2024-2201,1.6,Finance-PC-02,Sales,phishing email blocked medium,,,
EVT00082,2025-08-01 06:45:00,154.74.138.76,10.0.10.176,alex,file access,SMB,India,India,Device-3,Linux,Success,Low,0,No,CVE-2024-1045,3.8,Firewall,IT,file access success low,,,
EVT00083,2025-08-01 06:50:00,200.221.216.71,10.0.5.105,david,usb device connected,SMB,India,India,Device-119,Windows 11,Success,Low,0,No,CVE-2023-1234,7.8,WebServer,IT,usb device connected success low,,,
EVT00084,2025-08-01 06:55:00,151.71.182.142,10.0.4.201,root,failed login,HTTPS,India,India,Device-122,Linux,Failed,High,19,No,CVE-2024-1045,1.1,HR-PC-01,HR,failed login failed high,T1110,Brute Force,Credential Access
EVT00085,2025-08-01 07:00:00,199.20.160.109,10.0.5.65,alex,failed login,TCP,India,India,Device-158,Windows 10,Detected,High,12,No,CVE-2024-2201,2.9,HR-PC-01,Sales,failed login detected high,T1110,Brute Force,Credential Access
EVT00086,2025-08-01 07:05:00,133.73.28.88,10.0.10.30,root,malware detection,HTTP,India,India,Device-140,Linux,Detected,Critical,0,Yes,CVE-2024-2201,7.6,WebServer,IT,malware detection detected critical,,,
EVT00087,2025-08-01 07:10:00,99.89.203.184,10.0.3.26,john,usb device connected,HTTPS,India,India,Device-85,Linux,Failed,Low,0,No,CVE-2023-1234,7.4,HR-PC-01,Sales,usb device connected failed low,T1110,Brute Force,Credential Access
EVT00088,2025-08-01 07:15:00,103.61.249.238,10.0.4.215,john,malware detection,HTTP,India,India,Device-4,Windows 10,Detected,High,0,Yes,,8.0,WebServer,HR,malware detection detected high,,,
EVT00089,2025-08-01 07:20:00,171.147.79.40,10.0.8.212,admin,usb device connected,HTTPS,India,India,Device-5,Windows 10,Detected,Medium,0,No,CVE-2024-1045,5.4,Finance-PC-02,IT,usb device connected detected medium,,,
EVT00090,2025-08-01 07:25:00,109.81.91.88,10.0.10.62,admin,port scan,SMB,India,India,Device-143,Windows 11,Failed,Low,0,No,CVE-2023-1234,5.9,Firewall,HR,port scan failed low,T1110,Brute Force,Credential Access
EVT00091,2025-08-01 07:30:00,204.20.97.180,10.0.8.177,root,file access,SMB,India,India,Device-20,Windows 11,Detected,Low,0,No,CVE-2023-1234,1.2,WebServer,Sales,file access detected low,,,
EVT00092,2025-08-01 07:35:00,144.48.245.12,10.0.8.62,admin,failed login,TCP,India,India,Device-80,Windows 10,Blocked,High,13,No,CVE-2024-1045,5.9,Firewall,Finance,failed login blocked high,T1110,Brute Force,Credential Access
EVT00093,2025-08-01 07:40:00,129.213.85.179,10.0.6.179,david,port scan,HTTP,India,India,Device-127,Windows 10,Blocked,Medium,0,No,CVE-2024-1045,2.6,HR-PC-01,HR,port scan blocked medium,,,
