event_id,timestamp,source_ip,destination_ip,username,event_type,protocol,source_country,destination_country,device_name,os,event_status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department
EVT00001,2025-08-01 00:00:00,206.32.130.31,10.0.7.195,david,Brute Force,SSH,India,India,Device-167,Windows 10,Failed,Critical,3,No,CVE-2023-1234,0.3,Finance-PC-02,Sales
EVT00002,2025-08-01 00:05:00,179.228.136.185,10.0.3.152,admin,Phishing Email,HTTPS,India,India,Device-8,Windows 11,Success,Low,0,No,None,9.4,Finance-PC-02,HR
EVT00003,2025-08-01 00:10:00,136.113.224.241,10.0.7.142,john,File Access,HTTPS,India,India,Device-60,Linux,Failed,Low,0,No,CVE-2023-1234,9.5,WebServer,Sales
EVT00004,2025-08-01 00:15:00,48.151.61.191,10.0.5.230,alex,Port Scan,SMB,India,India,Device-109,Linux,Failed,Low,0,No,CVE-2024-2201,2.8,Finance-PC-02,Sales
EVT00005,2025-08-01 00:20:00,123.124.206.107,10.0.10.45,alice,Phishing Email,SMB,India,India,Device-180,Linux,Blocked,Low,0,No,None,4.4,Firewall,IT
EVT00006,2025-08-01 00:25:00,101.189.250.188,10.0.0.121,admin,Brute Force,HTTPS,India,India,Device-181,Linux,Detected,Critical,20,No,CVE-2024-1045,1.7,Database-01,IT
EVT00007,2025-08-01 00:30:00,221.118.207.132,10.0.5.244,root,Malware Detection,HTTPS,India,India,Device-118,Windows 10,Success,Critical,0,Yes,CVE-2023-1234,7.8,Firewall,HR
EVT00008,2025-08-01 00:35:00,110.28.246.223,10.0.5.146,root,Port Scan,HTTP,India,India,Device-130,Windows 10,Detected,Low,0,No,CVE-2024-2201,4.1,WebServer,Finance
EVT00009,2025-08-01 00:40:00,206.117.90.141,10.0.9.47,admin,USB Device Connected,SMB,India,India,Device-66,Windows 11,Success,Low,0,No,None,8.7,Finance-PC-02,IT
EVT00010,2025-08-01 00:45:00,29.94.176.75,10.0.1.43,john,Privilege Escalation,HTTPS,India,India,Device-136,Windows 11,Blocked,High,0,No,CVE-2024-2201,4.5,HR-PC-01,Sales
EVT00011,2025-08-01 00:50:00,7.159.197.88,10.0.6.204,john,USB Device Connected,HTTPS,India,India,Device-28,Windows 10,Failed,Low,0,No,CVE-2023-1234,8.2,WebServer,HR
EVT00012,2025-08-01 00:55:00,38.18.82.115,10.0.8.174,david,Login Success,SMB,India,India,Device-57,Linux,Detected,Medium,7,No,None,3.9,Firewall,Finance
EVT00013,2025-08-01 01:00:00,189.152.64.248,10.0.3.225,admin,File Access,HTTPS,India,India,Device-19,Windows 11,Blocked,Low,0,No,CVE-2024-2201,7.4,Finance-PC-02,Finance
EVT00014,2025-08-01 01:05:00,218.19.111.247,10.0.9.118,john,Brute Force,SMB,India,India,Device-131,Windows 11,Detected,High,6,No,CVE-2024-2201,1.0,Firewall,Sales
EVT00015,2025-08-01 01:10:00,127.53.199.76,10.0.8.128,admin,Phishing Email,HTTPS,India,India,Device-157,Windows 10,Blocked,Low,0,No,None,1.6,HR-PC-01,HR
EVT00016,2025-08-01 01:15:00,69.49.194.239,10.0.8.89,alex,SQL Injection Attempt,SMB,India,India,Device-125,Linux,Failed,High,0,No,None,7.3,WebServer,HR
